image_path,prob_malignant,entropy,descriptors,magnification
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-001.png,0.29976395,0.6106641,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-006.png,0.37260717,0.6603287,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-007.png,0.53916883,0.69007564,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-008.png,0.563621,0.68503,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-009.png,0.38968658,0.6686077,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-010.png,0.3791512,0.66364706,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-018.png,0.45374948,0.6888628,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-019.png,0.40776557,0.6760349,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-020.png,0.44618082,0.68734294,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-021.png,0.4850924,0.69270265,Moderate activation intensity; Localized activation clusters; High structural heterogeneity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-022.png,0.6843155,0.62357366,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-023.png,0.49392554,0.6930734,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-024.png,0.54769045,0.6885915,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-025.png,0.3397817,0.6408906,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_A-14-22549AB-100-026.png,0.39828175,0.6723088,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_F-14-14134-100-014.png,0.29731926,0.6085758,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_F-14-14134-100-021.png,0.6284769,0.6597613,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Fragmented activation pattern,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_F-14-14134-100-022.png,0.39410564,0.6705492,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_F-14-14134E-100-003.png,0.29991972,0.6107963,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_F-14-14134E-100-019.png,0.3318871,0.635507,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_F-14-14134E-100-021.png,0.32416588,0.6299698,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\benign\SOB_B_F-14-29960AB-100-005.png,0.67548394,0.6302268,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-002.png,0.6644765,0.63802147,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-003.png,0.2876819,0.6000631,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-004.png,0.48049784,0.6923863,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-005.png,0.4503847,0.68821573,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-006.png,0.41981843,0.6802333,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Fragmented activation pattern,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-007.png,0.42009187,0.6803216,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-008.png,0.48104775,0.6924286,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-009.png,0.49550435,0.6931068,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-010.png,0.7122566,0.60011876,Moderate activation intensity; Localized activation clusters; High structural heterogeneity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-011.png,0.6666034,0.63655806,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-012.png,0.48888007,0.6928999,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Fragmented activation pattern,100x
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\100X\malignant\SOB_M_DC-14-12312-100-013.png,0.5690798,0.68357253,Moderate activation intensity; Localized activation clusters; Moderate structural uniformity; Compact activation structure,100x
